Designator,Mid X,Mid Y,Layer,Rotation
C4,9.65,11.56,Top,180
C5,32.38,11.68,Top,180
C6,26.16,11.94,Top,270
D1,3.56,5.33,Top,270
D2,5.21,11.56,Top,90
D3,8.64,5.33,Top,270
D4,13.72,5.33,Top,270
D5,18.8,5.33,Top,270
D6,23.88,5.33,Top,270
D7,28.96,5.33,Top,270
D8,39.12,5.33,Top,270
D9,44.2,5.33,Top,270
D10,49.28,5.33,Top,270
D11,34.04,5.33,Top,270
Q3,45.21,11.81,Top,90
R1,5.33,4.95,Top,90
R2,6.86,4.95,Top,90
R3,14.35,11.94,Top,90
R4,10.41,4.95,Top,90
R5,11.94,4.95,Top,90
R6,15.49,4.95,Top,90
R7,39.24,15.24,Top,180
R8,17.02,4.95,Top,90
R9,20.57,4.95,Top,90
R10,22.1,4.95,Top,90
R11,25.65,4.95,Top,90
R12,27.18,4.95,Top,90
R13,30.73,4.95,Top,90
R14,32.26,4.95,Top,90
R15,40.89,4.95,Top,90
R16,42.42,4.95,Top,90
R17,45.97,4.95,Top,90
R18,47.5,4.95,Top,90
R19,51.05,4.95,Top,90
R20,52.58,4.95,Top,90
R21,35.81,4.95,Top,90
R22,37.34,4.95,Top,90
R23,39.24,12.07,Top,180
R25,35.31,11.68,Top,90
R26,39.24,13.72,Top,180
U3,20.19,11.94,Top,180
