C4  9.65 11.56 180 10uF 0805-NO
C5 32.38 11.68 180 10uF 0805-NO
C6 26.16 11.94 270 0.1uF 0603-NO
D1  3.56  5.33 270 1N4148 SOD-323
D2  5.21 11.56 180 GREEN CHIPLED_0603_NOOUTLINE
D3  8.64  5.33 270 1N4148 SOD-323
D4 13.72  5.33 270 1N4148 SOD-323
D5 18.80  5.33 270 1N4148 SOD-323
D6 23.88  5.33 270 1N4148 SOD-323
D7 28.96  5.33 270 1N4148 SOD-323
D8 39.12  5.33 270 1N4148 SOD-323
D9 44.20  5.33 270 1N4148 SOD-323
D10 49.28  5.33 270 1N4148 SOD-323
D11 34.04  5.33 270 1N4148 SOD-323
Q3 45.21 11.81 180 BSS138 SOT363
R1  5.33  4.95  90 10K 0603-NO
R2  6.86  4.95  90 10K 0603-NO
R3 14.35 11.94  90 10K 0603-NO
R4 10.41  4.95  90 10K 0603-NO
R5 11.94  4.95  90 10K 0603-NO
R6 15.49  4.95  90 10K 0603-NO
R7 38.10 12.32 270 10K RESPACK_4X0603
R8 17.02  4.95  90 10K 0603-NO
R9 20.57  4.95  90 10K 0603-NO
R10 22.10  4.95  90 10K 0603-NO
R11 25.65  4.95  90 10K 0603-NO
R12 27.18  4.95  90 10K 0603-NO
R13 30.73  4.95  90 10K 0603-NO
R14 32.26  4.95  90 10K 0603-NO
R15 40.89  4.95  90 10K 0603-NO
R16 42.42  4.95  90 10K 0603-NO
R17 45.97  4.95  90 10K 0603-NO
R18 47.50  4.95  90 10K 0603-NO
R19 51.05  4.95  90 10K 0603-NO
R20 52.58  4.95  90 10K 0603-NO
R21 35.81  4.95  90 10K 0603-NO
R22 37.34  4.95  90 10K 0603-NO
U3 20.19 11.94 270 LP5907-2.8V SOT23-5
